StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2020-12-31T23:00+00:00Z,2021-01-01T00:00+00:00Z,10YES-REE------0,MAW,B19,7001
2021-01-01T00:00+00:00Z,2021-01-01T01:00+00:00Z,10YES-REE------0,MAW,B19,7256
2021-01-01T01:00+00:00Z,2021-01-01T02:00+00:00Z,10YES-REE------0,MAW,B19,7951
2021-01-01T02:00+00:00Z,2021-01-01T03:00+00:00Z,10YES-REE------0,MAW,B19,8791
2021-01-01T03:00+00:00Z,2021-01-01T04:00+00:00Z,10YES-REE------0,MAW,B19,9209
2021-01-01T04:00+00:00Z,2021-01-01T05:00+00:00Z,10YES-REE------0,MAW,B19,9454
2021-01-01T05:00+00:00Z,2021-01-01T06:00+00:00Z,10YES-REE------0,MAW,B19,9970
2021-01-01T06:00+00:00Z,2021-01-01T07:00+00:00Z,10YES-REE------0,MAW,B19,10461
2021-01-01T07:00+00:00Z,2021-01-01T08:00+00:00Z,10YES-REE------0,MAW,B19,10788
2021-01-01T08:00+00:00Z,2021-01-01T09:00+00:00Z,10YES-REE------0,MAW,B19,10565
2021-01-01T09:00+00:00Z,2021-01-01T10:00+00:00Z,10YES-REE------0,MAW,B19,10593
2021-01-01T10:00+00:00Z,2021-01-01T11:00+00:00Z,10YES-REE------0,MAW,B19,11267
2021-01-01T11:00+00:00Z,2021-01-01T12:00+00:00Z,10YES-REE------0,MAW,B19,11815
2021-01-01T12:00+00:00Z,2021-01-01T13:00+00:00Z,10YES-REE------0,MAW,B19,11863
2021-01-01T13:00+00:00Z,2021-01-01T14:00+00:00Z,10YES-REE------0,MAW,B19,11701
2021-01-01T14:00+00:00Z,2021-01-01T15:00+00:00Z,10YES-REE------0,MAW,B19,11085
2021-01-01T15:00+00:00Z,2021-01-01T16:00+00:00Z,10YES-REE------0,MAW,B19,10391
2021-01-01T16:00+00:00Z,2021-01-01T17:00+00:00Z,10YES-REE------0,MAW,B19,10015
2021-01-01T17:00+00:00Z,2021-01-01T18:00+00:00Z,10YES-REE------0,MAW,B19,10110
2021-01-01T18:00+00:00Z,2021-01-01T19:00+00:00Z,10YES-REE------0,MAW,B19,10069
2021-01-01T19:00+00:00Z,2021-01-01T20:00+00:00Z,10YES-REE------0,MAW,B19,10395
2021-01-01T20:00+00:00Z,2021-01-01T21:00+00:00Z,10YES-REE------0,MAW,B19,10262
2021-01-01T21:00+00:00Z,2021-01-01T22:00+00:00Z,10YES-REE------0,MAW,B19,10258
2021-01-01T22:00+00:00Z,2021-01-01T23:00+00:00Z,10YES-REE------0,MAW,B19,10170
2021-01-01T23:00+00:00Z,2021-01-02T00:00+00:00Z,10YES-REE------0,MAW,B19,10165
2021-01-02T00:00+00:00Z,2021-01-02T01:00+00:00Z,10YES-REE------0,MAW,B19,10391
2021-01-02T01:00+00:00Z,2021-01-02T02:00+00:00Z,10YES-REE------0,MAW,B19,10516
2021-01-02T02:00+00:00Z,2021-01-02T03:00+00:00Z,10YES-REE------0,MAW,B19,10443
2021-01-02T03:00+00:00Z,2021-01-02T04:00+00:00Z,10YES-REE------0,MAW,B19,10690
2021-01-02T04:00+00:00Z,2021-01-02T05:00+00:00Z,10YES-REE------0,MAW,B19,11014
2021-01-02T05:00+00:00Z,2021-01-02T06:00+00:00Z,10YES-REE------0,MAW,B19,11119
2021-01-02T06:00+00:00Z,2021-01-02T07:00+00:00Z,10YES-REE------0,MAW,B19,11268
2021-01-02T07:00+00:00Z,2021-01-02T08:00+00:00Z,10YES-REE------0,MAW,B19,11629
2021-01-02T08:00+00:00Z,2021-01-02T09:00+00:00Z,10YES-REE------0,MAW,B19,11788
2021-01-02T09:00+00:00Z,2021-01-02T10:00+00:00Z,10YES-REE------0,MAW,B19,11824
2021-01-02T10:00+00:00Z,2021-01-02T11:00+00:00Z,10YES-REE------0,MAW,B19,12069
2021-01-02T11:00+00:00Z,2021-01-02T12:00+00:00Z,10YES-REE------0,MAW,B19,12142
2021-01-02T12:00+00:00Z,2021-01-02T13:00+00:00Z,10YES-REE------0,MAW,B19,12330
2021-01-02T13:00+00:00Z,2021-01-02T14:00+00:00Z,10YES-REE------0,MAW,B19,12310
2021-01-02T14:00+00:00Z,2021-01-02T15:00+00:00Z,10YES-REE------0,MAW,B19,12113
2021-01-02T15:00+00:00Z,2021-01-02T16:00+00:00Z,10YES-REE------0,MAW,B19,11789
2021-01-02T16:00+00:00Z,2021-01-02T17:00+00:00Z,10YES-REE------0,MAW,B19,11613
2021-01-02T17:00+00:00Z,2021-01-02T18:00+00:00Z,10YES-REE------0,MAW,B19,11641
2021-01-02T18:00+00:00Z,2021-01-02T19:00+00:00Z,10YES-REE------0,MAW,B19,11425
2021-01-02T19:00+00:00Z,2021-01-02T20:00+00:00Z,10YES-REE------0,MAW,B19,11282
2021-01-02T20:00+00:00Z,2021-01-02T21:00+00:00Z,10YES-REE------0,MAW,B19,11216
2021-01-02T21:00+00:00Z,2021-01-02T22:00+00:00Z,10YES-REE------0,MAW,B19,11078
2021-01-02T22:00+00:00Z,2021-01-02T23:00+00:00Z,10YES-REE------0,MAW,B19,10886
2021-01-02T23:00+00:00Z,2021-01-03T00:00+00:00Z,10YES-REE------0,MAW,B19,10893
2021-01-03T00:00+00:00Z,2021-01-03T01:00+00:00Z,10YES-REE------0,MAW,B19,10613
2021-01-03T01:00+00:00Z,2021-01-03T02:00+00:00Z,10YES-REE------0,MAW,B19,10386
2021-01-03T02:00+00:00Z,2021-01-03T03:00+00:00Z,10YES-REE------0,MAW,B19,10293
2021-01-03T03:00+00:00Z,2021-01-03T04:00+00:00Z,10YES-REE------0,MAW,B19,10200
2021-01-03T04:00+00:00Z,2021-01-03T05:00+00:00Z,10YES-REE------0,MAW,B19,9993
2021-01-03T05:00+00:00Z,2021-01-03T06:00+00:00Z,10YES-REE------0,MAW,B19,9735
2021-01-03T06:00+00:00Z,2021-01-03T07:00+00:00Z,10YES-REE------0,MAW,B19,9460
2021-01-03T07:00+00:00Z,2021-01-03T08:00+00:00Z,10YES-REE------0,MAW,B19,8830
