StartTime,EndTime,AreaID,UnitName,Load
2021-01-03T10:00+00:00Z,2021-01-03T11:00+00:00Z,10YPL-AREA-----S,MAW,17946
2021-01-03T11:00+00:00Z,2021-01-03T12:00+00:00Z,10YPL-AREA-----S,MAW,18315
2021-01-03T12:00+00:00Z,2021-01-03T13:00+00:00Z,10YPL-AREA-----S,MAW,18008
2021-01-03T13:00+00:00Z,2021-01-03T14:00+00:00Z,10YPL-AREA-----S,MAW,17880
2021-01-03T14:00+00:00Z,2021-01-03T15:00+00:00Z,10YPL-AREA-----S,MAW,18826
2021-01-03T15:00+00:00Z,2021-01-03T16:00+00:00Z,10YPL-AREA-----S,MAW,19020
2021-01-03T16:00+00:00Z,2021-01-03T17:00+00:00Z,10YPL-AREA-----S,MAW,19147
2021-01-03T17:00+00:00Z,2021-01-03T18:00+00:00Z,10YPL-AREA-----S,MAW,19141
2021-01-03T18:00+00:00Z,2021-01-03T19:00+00:00Z,10YPL-AREA-----S,MAW,18683
2021-01-03T19:00+00:00Z,2021-01-03T20:00+00:00Z,10YPL-AREA-----S,MAW,17877
2021-01-03T20:00+00:00Z,2021-01-03T21:00+00:00Z,10YPL-AREA-----S,MAW,17306
2021-01-03T21:00+00:00Z,2021-01-03T22:00+00:00Z,10YPL-AREA-----S,MAW,16288
2021-01-03T22:00+00:00Z,2021-01-03T23:00+00:00Z,10YPL-AREA-----S,MAW,15443
2021-01-03T23:00+00:00Z,2021-01-04T00:00+00:00Z,10YPL-AREA-----S,MAW,14924
2021-01-04T00:00+00:00Z,2021-01-04T01:00+00:00Z,10YPL-AREA-----S,MAW,14730
2021-01-04T01:00+00:00Z,2021-01-04T02:00+00:00Z,10YPL-AREA-----S,MAW,14722
2021-01-04T02:00+00:00Z,2021-01-04T03:00+00:00Z,10YPL-AREA-----S,MAW,15188
2021-01-04T03:00+00:00Z,2021-01-04T04:00+00:00Z,10YPL-AREA-----S,MAW,16502
2021-01-04T04:00+00:00Z,2021-01-04T05:00+00:00Z,10YPL-AREA-----S,MAW,18947
2021-01-04T05:00+00:00Z,2021-01-04T06:00+00:00Z,10YPL-AREA-----S,MAW,20840
2021-01-04T06:00+00:00Z,2021-01-04T07:00+00:00Z,10YPL-AREA-----S,MAW,21904
2021-01-04T07:00+00:00Z,2021-01-04T08:00+00:00Z,10YPL-AREA-----S,MAW,22649
2021-01-04T08:00+00:00Z,2021-01-04T09:00+00:00Z,10YPL-AREA-----S,MAW,23134
2021-01-04T09:00+00:00Z,2021-01-04T10:00+00:00Z,10YPL-AREA-----S,MAW,23520
2021-01-04T10:00+00:00Z,2021-01-04T11:00+00:00Z,10YPL-AREA-----S,MAW,23533
2021-01-04T11:00+00:00Z,2021-01-04T12:00+00:00Z,10YPL-AREA-----S,MAW,23415
2021-01-04T12:00+00:00Z,2021-01-04T13:00+00:00Z,10YPL-AREA-----S,MAW,23126
2021-01-04T13:00+00:00Z,2021-01-04T14:00+00:00Z,10YPL-AREA-----S,MAW,23154
2021-01-04T14:00+00:00Z,2021-01-04T15:00+00:00Z,10YPL-AREA-----S,MAW,23826
2021-01-04T15:00+00:00Z,2021-01-04T16:00+00:00Z,10YPL-AREA-----S,MAW,23719
2021-01-04T16:00+00:00Z,2021-01-04T17:00+00:00Z,10YPL-AREA-----S,MAW,23356
2021-01-04T17:00+00:00Z,2021-01-04T18:00+00:00Z,10YPL-AREA-----S,MAW,23090
2021-01-04T18:00+00:00Z,2021-01-04T19:00+00:00Z,10YPL-AREA-----S,MAW,22586
2021-01-04T19:00+00:00Z,2021-01-04T20:00+00:00Z,10YPL-AREA-----S,MAW,21244
2021-01-04T20:00+00:00Z,2021-01-04T21:00+00:00Z,10YPL-AREA-----S,MAW,19777
2021-01-04T21:00+00:00Z,2021-01-04T22:00+00:00Z,10YPL-AREA-----S,MAW,18539
2021-01-04T22:00+00:00Z,2021-01-04T23:00+00:00Z,10YPL-AREA-----S,MAW,17504
2021-01-04T23:00+00:00Z,2021-01-05T00:00+00:00Z,10YPL-AREA-----S,MAW,16851
2021-01-05T00:00+00:00Z,2021-01-05T01:00+00:00Z,10YPL-AREA-----S,MAW,16604
2021-01-05T01:00+00:00Z,2021-01-05T02:00+00:00Z,10YPL-AREA-----S,MAW,16594
2021-01-05T02:00+00:00Z,2021-01-05T03:00+00:00Z,10YPL-AREA-----S,MAW,16929
2021-01-05T03:00+00:00Z,2021-01-05T04:00+00:00Z,10YPL-AREA-----S,MAW,17635
2021-01-05T04:00+00:00Z,2021-01-05T05:00+00:00Z,10YPL-AREA-----S,MAW,19927
2021-01-05T05:00+00:00Z,2021-01-05T06:00+00:00Z,10YPL-AREA-----S,MAW,21668
2021-01-05T06:00+00:00Z,2021-01-05T07:00+00:00Z,10YPL-AREA-----S,MAW,22617
2021-01-05T07:00+00:00Z,2021-01-05T08:00+00:00Z,10YPL-AREA-----S,MAW,23349
2021-01-05T08:00+00:00Z,2021-01-05T09:00+00:00Z,10YPL-AREA-----S,MAW,23916
2021-01-05T09:00+00:00Z,2021-01-05T10:00+00:00Z,10YPL-AREA-----S,MAW,24414
2021-01-05T10:00+00:00Z,2021-01-05T11:00+00:00Z,10YPL-AREA-----S,MAW,24440
2021-01-05T11:00+00:00Z,2021-01-05T12:00+00:00Z,10YPL-AREA-----S,MAW,24393
2021-01-05T12:00+00:00Z,2021-01-05T13:00+00:00Z,10YPL-AREA-----S,MAW,23993
2021-01-05T13:00+00:00Z,2021-01-05T14:00+00:00Z,10YPL-AREA-----S,MAW,23902
2021-01-05T14:00+00:00Z,2021-01-05T15:00+00:00Z,10YPL-AREA-----S,MAW,24381
2021-01-05T15:00+00:00Z,2021-01-05T16:00+00:00Z,10YPL-AREA-----S,MAW,24196
2021-01-05T16:00+00:00Z,2021-01-05T17:00+00:00Z,10YPL-AREA-----S,MAW,23708
2021-01-05T17:00+00:00Z,2021-01-05T18:00+00:00Z,10YPL-AREA-----S,MAW,23349
2021-01-05T18:00+00:00Z,2021-01-05T19:00+00:00Z,10YPL-AREA-----S,MAW,22724
2021-01-05T19:00+00:00Z,2021-01-05T20:00+00:00Z,10YPL-AREA-----S,MAW,21408
2021-01-05T20:00+00:00Z,2021-01-05T21:00+00:00Z,10YPL-AREA-----S,MAW,20106
2021-01-05T21:00+00:00Z,2021-01-05T22:00+00:00Z,10YPL-AREA-----S,MAW,18870
2021-01-05T22:00+00:00Z,2021-01-05T23:00+00:00Z,10YPL-AREA-----S,MAW,17755
2021-01-05T23:00+00:00Z,2021-01-06T00:00+00:00Z,10YPL-AREA-----S,MAW,16999
2021-01-06T00:00+00:00Z,2021-01-06T01:00+00:00Z,10YPL-AREA-----S,MAW,16474
2021-01-06T01:00+00:00Z,2021-01-06T02:00+00:00Z,10YPL-AREA-----S,MAW,16225
2021-01-06T02:00+00:00Z,2021-01-06T03:00+00:00Z,10YPL-AREA-----S,MAW,16201
2021-01-06T03:00+00:00Z,2021-01-06T04:00+00:00Z,10YPL-AREA-----S,MAW,16055
2021-01-06T04:00+00:00Z,2021-01-06T05:00+00:00Z,10YPL-AREA-----S,MAW,16151
2021-01-06T05:00+00:00Z,2021-01-06T06:00+00:00Z,10YPL-AREA-----S,MAW,16370
2021-01-06T06:00+00:00Z,2021-01-06T07:00+00:00Z,10YPL-AREA-----S,MAW,16877
2021-01-06T07:00+00:00Z,2021-01-06T08:00+00:00Z,10YPL-AREA-----S,MAW,17953
2021-01-06T08:00+00:00Z,2021-01-06T09:00+00:00Z,10YPL-AREA-----S,MAW,18785
2021-01-06T09:00+00:00Z,2021-01-06T10:00+00:00Z,10YPL-AREA-----S,MAW,19286
2021-01-06T10:00+00:00Z,2021-01-06T11:00+00:00Z,10YPL-AREA-----S,MAW,19602
2021-01-06T11:00+00:00Z,2021-01-06T12:00+00:00Z,10YPL-AREA-----S,MAW,19858
2021-01-06T12:00+00:00Z,2021-01-06T13:00+00:00Z,10YPL-AREA-----S,MAW,19580
2021-01-06T13:00+00:00Z,2021-01-06T14:00+00:00Z,10YPL-AREA-----S,MAW,19382
2021-01-06T14:00+00:00Z,2021-01-06T15:00+00:00Z,10YPL-AREA-----S,MAW,20234
