StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2020-12-31T23:30+00:00Z,2021-01-01T00:00+00:00Z,10Y1001A1001A92E,MAW,B11,385
2021-01-01T00:00+00:00Z,2021-01-01T00:30+00:00Z,10Y1001A1001A92E,MAW,B11,382
2021-01-01T00:30+00:00Z,2021-01-01T01:00+00:00Z,10Y1001A1001A92E,MAW,B11,349
2021-01-01T01:00+00:00Z,2021-01-01T01:30+00:00Z,10Y1001A1001A92E,MAW,B11,334
2021-01-01T01:30+00:00Z,2021-01-01T02:00+00:00Z,10Y1001A1001A92E,MAW,B11,330
2021-01-01T02:00+00:00Z,2021-01-01T02:30+00:00Z,10Y1001A1001A92E,MAW,B11,327
2021-01-01T02:30+00:00Z,2021-01-01T03:00+00:00Z,10Y1001A1001A92E,MAW,B11,328
2021-01-01T03:00+00:00Z,2021-01-01T03:30+00:00Z,10Y1001A1001A92E,MAW,B11,316
2021-01-01T03:30+00:00Z,2021-01-01T04:00+00:00Z,10Y1001A1001A92E,MAW,B11,315
2021-01-01T04:00+00:00Z,2021-01-01T04:30+00:00Z,10Y1001A1001A92E,MAW,B11,315
2021-01-01T04:30+00:00Z,2021-01-01T05:00+00:00Z,10Y1001A1001A92E,MAW,B11,314
2021-01-01T05:00+00:00Z,2021-01-01T05:30+00:00Z,10Y1001A1001A92E,MAW,B11,314
2021-01-01T05:30+00:00Z,2021-01-01T06:00+00:00Z,10Y1001A1001A92E,MAW,B11,316
2021-01-01T06:00+00:00Z,2021-01-01T06:30+00:00Z,10Y1001A1001A92E,MAW,B11,335
2021-01-01T06:30+00:00Z,2021-01-01T07:00+00:00Z,10Y1001A1001A92E,MAW,B11,383
2021-01-01T07:00+00:00Z,2021-01-01T07:30+00:00Z,10Y1001A1001A92E,MAW,B11,388
2021-01-01T07:30+00:00Z,2021-01-01T08:00+00:00Z,10Y1001A1001A92E,MAW,B11,401
2021-01-01T08:00+00:00Z,2021-01-01T08:30+00:00Z,10Y1001A1001A92E,MAW,B11,402
2021-01-01T08:30+00:00Z,2021-01-01T09:00+00:00Z,10Y1001A1001A92E,MAW,B11,419
2021-01-01T09:00+00:00Z,2021-01-01T09:30+00:00Z,10Y1001A1001A92E,MAW,B11,419
2021-01-01T09:30+00:00Z,2021-01-01T10:00+00:00Z,10Y1001A1001A92E,MAW,B11,426
2021-01-01T10:00+00:00Z,2021-01-01T10:30+00:00Z,10Y1001A1001A92E,MAW,B11,426
2021-01-01T10:30+00:00Z,2021-01-01T11:00+00:00Z,10Y1001A1001A92E,MAW,B11,418
2021-01-01T11:00+00:00Z,2021-01-01T11:30+00:00Z,10Y1001A1001A92E,MAW,B11,413
2021-01-01T11:30+00:00Z,2021-01-01T12:00+00:00Z,10Y1001A1001A92E,MAW,B11,402
2021-01-01T12:00+00:00Z,2021-01-01T12:30+00:00Z,10Y1001A1001A92E,MAW,B11,412
2021-01-01T12:30+00:00Z,2021-01-01T13:00+00:00Z,10Y1001A1001A92E,MAW,B11,430
2021-01-01T13:00+00:00Z,2021-01-01T13:30+00:00Z,10Y1001A1001A92E,MAW,B11,431
2021-01-01T13:30+00:00Z,2021-01-01T14:00+00:00Z,10Y1001A1001A92E,MAW,B11,395
2021-01-01T14:00+00:00Z,2021-01-01T14:30+00:00Z,10Y1001A1001A92E,MAW,B11,395
2021-01-01T14:30+00:00Z,2021-01-01T15:00+00:00Z,10Y1001A1001A92E,MAW,B11,439
2021-01-01T15:00+00:00Z,2021-01-01T15:30+00:00Z,10Y1001A1001A92E,MAW,B11,457
2021-01-01T15:30+00:00Z,2021-01-01T16:00+00:00Z,10Y1001A1001A92E,MAW,B11,590
2021-01-01T16:00+00:00Z,2021-01-01T16:30+00:00Z,10Y1001A1001A92E,MAW,B11,601
2021-01-01T16:30+00:00Z,2021-01-01T17:00+00:00Z,10Y1001A1001A92E,MAW,B11,662
2021-01-01T17:00+00:00Z,2021-01-01T17:30+00:00Z,10Y1001A1001A92E,MAW,B11,666
2021-01-01T17:30+00:00Z,2021-01-01T18:00+00:00Z,10Y1001A1001A92E,MAW,B11,627
2021-01-01T18:00+00:00Z,2021-01-01T18:30+00:00Z,10Y1001A1001A92E,MAW,B11,623
2021-01-01T18:30+00:00Z,2021-01-01T19:00+00:00Z,10Y1001A1001A92E,MAW,B11,522
2021-01-01T19:00+00:00Z,2021-01-01T19:30+00:00Z,10Y1001A1001A92E,MAW,B11,517
2021-01-01T19:30+00:00Z,2021-01-01T20:00+00:00Z,10Y1001A1001A92E,MAW,B11,489
2021-01-01T20:00+00:00Z,2021-01-01T20:30+00:00Z,10Y1001A1001A92E,MAW,B11,482
2021-01-01T20:30+00:00Z,2021-01-01T21:00+00:00Z,10Y1001A1001A92E,MAW,B11,482
2021-01-01T21:00+00:00Z,2021-01-01T21:30+00:00Z,10Y1001A1001A92E,MAW,B11,440
2021-01-01T21:30+00:00Z,2021-01-01T22:00+00:00Z,10Y1001A1001A92E,MAW,B11,425
2021-01-01T22:00+00:00Z,2021-01-01T22:30+00:00Z,10Y1001A1001A92E,MAW,B11,449
2021-01-01T22:30+00:00Z,2021-01-01T23:00+00:00Z,10Y1001A1001A92E,MAW,B11,418
2021-01-01T23:00+00:00Z,2021-01-01T23:30+00:00Z,10Y1001A1001A92E,MAW,B11,405
2021-01-01T23:30+00:00Z,2021-01-02T00:00+00:00Z,10Y1001A1001A92E,MAW,B11,374
2021-01-02T00:00+00:00Z,2021-01-02T00:30+00:00Z,10Y1001A1001A92E,MAW,B11,361
2021-01-02T00:30+00:00Z,2021-01-02T01:00+00:00Z,10Y1001A1001A92E,MAW,B11,337
2021-01-02T01:00+00:00Z,2021-01-02T01:30+00:00Z,10Y1001A1001A92E,MAW,B11,337
2021-01-02T01:30+00:00Z,2021-01-02T02:00+00:00Z,10Y1001A1001A92E,MAW,B11,337
2021-01-02T02:00+00:00Z,2021-01-02T02:30+00:00Z,10Y1001A1001A92E,MAW,B11,306
2021-01-02T02:30+00:00Z,2021-01-02T03:00+00:00Z,10Y1001A1001A92E,MAW,B11,315
2021-01-02T03:00+00:00Z,2021-01-02T03:30+00:00Z,10Y1001A1001A92E,MAW,B11,312
2021-01-02T03:30+00:00Z,2021-01-02T04:00+00:00Z,10Y1001A1001A92E,MAW,B11,310
2021-01-02T04:00+00:00Z,2021-01-02T04:30+00:00Z,10Y1001A1001A92E,MAW,B11,280
2021-01-02T04:30+00:00Z,2021-01-02T05:00+00:00Z,10Y1001A1001A92E,MAW,B11,295
2021-01-02T05:00+00:00Z,2021-01-02T05:30+00:00Z,10Y1001A1001A92E,MAW,B11,291
2021-01-02T05:30+00:00Z,2021-01-02T06:00+00:00Z,10Y1001A1001A92E,MAW,B11,301
2021-01-02T06:00+00:00Z,2021-01-02T06:30+00:00Z,10Y1001A1001A92E,MAW,B11,318
2021-01-02T06:30+00:00Z,2021-01-02T07:00+00:00Z,10Y1001A1001A92E,MAW,B11,322
2021-01-02T07:00+00:00Z,2021-01-02T07:30+00:00Z,10Y1001A1001A92E,MAW,B11,322
2021-01-02T07:30+00:00Z,2021-01-02T08:00+00:00Z,10Y1001A1001A92E,MAW,B11,338
2021-01-02T08:00+00:00Z,2021-01-02T08:30+00:00Z,10Y1001A1001A92E,MAW,B11,360
2021-01-02T08:30+00:00Z,2021-01-02T09:00+00:00Z,10Y1001A1001A92E,MAW,B11,383
2021-01-02T09:00+00:00Z,2021-01-02T09:30+00:00Z,10Y1001A1001A92E,MAW,B11,373
2021-01-02T09:30+00:00Z,2021-01-02T10:00+00:00Z,10Y1001A1001A92E,MAW,B11,413
2021-01-02T10:00+00:00Z,2021-01-02T10:30+00:00Z,10Y1001A1001A92E,MAW,B11,421
2021-01-02T10:30+00:00Z,2021-01-02T11:00+00:00Z,10Y1001A1001A92E,MAW,B11,414
2021-01-02T11:00+00:00Z,2021-01-02T11:30+00:00Z,10Y1001A1001A92E,MAW,B11,408
2021-01-02T11:30+00:00Z,2021-01-02T12:00+00:00Z,10Y1001A1001A92E,MAW,B11,436
2021-01-02T12:00+00:00Z,2021-01-02T12:30+00:00Z,10Y1001A1001A92E,MAW,B11,433
2021-01-02T12:30+00:00Z,2021-01-02T13:00+00:00Z,10Y1001A1001A92E,MAW,B11,433
2021-01-02T13:00+00:00Z,2021-01-02T13:30+00:00Z,10Y1001A1001A92E,MAW,B11,432
2021-01-02T13:30+00:00Z,2021-01-02T14:00+00:00Z,10Y1001A1001A92E,MAW,B11,427
2021-01-02T14:00+00:00Z,2021-01-02T14:30+00:00Z,10Y1001A1001A92E,MAW,B11,413
2021-01-02T14:30+00:00Z,2021-01-02T15:00+00:00Z,10Y1001A1001A92E,MAW,B11,435
2021-01-02T15:00+00:00Z,2021-01-02T15:30+00:00Z,10Y1001A1001A92E,MAW,B11,444
2021-01-02T15:30+00:00Z,2021-01-02T16:00+00:00Z,10Y1001A1001A92E,MAW,B11,507
2021-01-02T16:00+00:00Z,2021-01-02T16:30+00:00Z,10Y1001A1001A92E,MAW,B11,545
2021-01-02T16:30+00:00Z,2021-01-02T17:00+00:00Z,10Y1001A1001A92E,MAW,B11,659
2021-01-02T17:00+00:00Z,2021-01-02T17:30+00:00Z,10Y1001A1001A92E,MAW,B11,663
2021-01-02T17:30+00:00Z,2021-01-02T18:00+00:00Z,10Y1001A1001A92E,MAW,B11,620
2021-01-02T18:00+00:00Z,2021-01-02T18:30+00:00Z,10Y1001A1001A92E,MAW,B11,619
2021-01-02T18:30+00:00Z,2021-01-02T19:00+00:00Z,10Y1001A1001A92E,MAW,B11,544
2021-01-02T19:00+00:00Z,2021-01-02T19:30+00:00Z,10Y1001A1001A92E,MAW,B11,519
2021-01-02T19:30+00:00Z,2021-01-02T20:00+00:00Z,10Y1001A1001A92E,MAW,B11,438
2021-01-02T20:00+00:00Z,2021-01-02T20:30+00:00Z,10Y1001A1001A92E,MAW,B11,422
2021-01-02T20:30+00:00Z,2021-01-02T21:00+00:00Z,10Y1001A1001A92E,MAW,B11,404
2021-01-02T21:00+00:00Z,2021-01-02T21:30+00:00Z,10Y1001A1001A92E,MAW,B11,405
2021-01-02T21:30+00:00Z,2021-01-02T22:00+00:00Z,10Y1001A1001A92E,MAW,B11,371
