StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2020-12-31T23:00+00:00Z,2021-01-01T00:00+00:00Z,10YES-REE------0,MAW,B12,4300
2021-01-01T00:00+00:00Z,2021-01-01T01:00+00:00Z,10YES-REE------0,MAW,B12,3231
2021-01-01T01:00+00:00Z,2021-01-01T02:00+00:00Z,10YES-REE------0,MAW,B12,2386
2021-01-01T02:00+00:00Z,2021-01-01T03:00+00:00Z,10YES-REE------0,MAW,B12,2032
2021-01-01T03:00+00:00Z,2021-01-01T04:00+00:00Z,10YES-REE------0,MAW,B12,1764
2021-01-01T04:00+00:00Z,2021-01-01T05:00+00:00Z,10YES-REE------0,MAW,B12,1919
2021-01-01T05:00+00:00Z,2021-01-01T06:00+00:00Z,10YES-REE------0,MAW,B12,2289
2021-01-01T06:00+00:00Z,2021-01-01T07:00+00:00Z,10YES-REE------0,MAW,B12,2388
2021-01-01T07:00+00:00Z,2021-01-01T08:00+00:00Z,10YES-REE------0,MAW,B12,2557
2021-01-01T08:00+00:00Z,2021-01-01T09:00+00:00Z,10YES-REE------0,MAW,B12,2867
2021-01-01T09:00+00:00Z,2021-01-01T10:00+00:00Z,10YES-REE------0,MAW,B12,2912
2021-01-01T10:00+00:00Z,2021-01-01T11:00+00:00Z,10YES-REE------0,MAW,B12,2721
2021-01-01T11:00+00:00Z,2021-01-01T12:00+00:00Z,10YES-REE------0,MAW,B12,2456
2021-01-01T12:00+00:00Z,2021-01-01T13:00+00:00Z,10YES-REE------0,MAW,B12,2611
2021-01-01T13:00+00:00Z,2021-01-01T14:00+00:00Z,10YES-REE------0,MAW,B12,2438
2021-01-01T14:00+00:00Z,2021-01-01T15:00+00:00Z,10YES-REE------0,MAW,B12,3110
2021-01-01T15:00+00:00Z,2021-01-01T16:00+00:00Z,10YES-REE------0,MAW,B12,3833
2021-01-01T16:00+00:00Z,2021-01-01T17:00+00:00Z,10YES-REE------0,MAW,B12,5282
2021-01-01T17:00+00:00Z,2021-01-01T18:00+00:00Z,10YES-REE------0,MAW,B12,5680
2021-01-01T18:00+00:00Z,2021-01-01T19:00+00:00Z,10YES-REE------0,MAW,B12,6476
2021-01-01T19:00+00:00Z,2021-01-01T20:00+00:00Z,10YES-REE------0,MAW,B12,5535
2021-01-01T20:00+00:00Z,2021-01-01T21:00+00:00Z,10YES-REE------0,MAW,B12,5439
2021-01-01T21:00+00:00Z,2021-01-01T22:00+00:00Z,10YES-REE------0,MAW,B12,3922
2021-01-01T22:00+00:00Z,2021-01-01T23:00+00:00Z,10YES-REE------0,MAW,B12,2223
2021-01-01T23:00+00:00Z,2021-01-02T00:00+00:00Z,10YES-REE------0,MAW,B12,2088
2021-01-02T00:00+00:00Z,2021-01-02T01:00+00:00Z,10YES-REE------0,MAW,B12,1855
2021-01-02T01:00+00:00Z,2021-01-02T02:00+00:00Z,10YES-REE------0,MAW,B12,1575
2021-01-02T02:00+00:00Z,2021-01-02T03:00+00:00Z,10YES-REE------0,MAW,B12,1603
2021-01-02T03:00+00:00Z,2021-01-02T04:00+00:00Z,10YES-REE------0,MAW,B12,1875
2021-01-02T04:00+00:00Z,2021-01-02T05:00+00:00Z,10YES-REE------0,MAW,B12,1820
2021-01-02T05:00+00:00Z,2021-01-02T06:00+00:00Z,10YES-REE------0,MAW,B12,2208
2021-01-02T06:00+00:00Z,2021-01-02T07:00+00:00Z,10YES-REE------0,MAW,B12,2600
2021-01-02T07:00+00:00Z,2021-01-02T08:00+00:00Z,10YES-REE------0,MAW,B12,3098
2021-01-02T08:00+00:00Z,2021-01-02T09:00+00:00Z,10YES-REE------0,MAW,B12,3548
2021-01-02T09:00+00:00Z,2021-01-02T10:00+00:00Z,10YES-REE------0,MAW,B12,3521
2021-01-02T10:00+00:00Z,2021-01-02T11:00+00:00Z,10YES-REE------0,MAW,B12,2828
2021-01-02T11:00+00:00Z,2021-01-02T12:00+00:00Z,10YES-REE------0,MAW,B12,2990
2021-01-02T12:00+00:00Z,2021-01-02T13:00+00:00Z,10YES-REE------0,MAW,B12,3050
2021-01-02T13:00+00:00Z,2021-01-02T14:00+00:00Z,10YES-REE------0,MAW,B12,2675
2021-01-02T14:00+00:00Z,2021-01-02T15:00+00:00Z,10YES-REE------0,MAW,B12,3219
2021-01-02T15:00+00:00Z,2021-01-02T16:00+00:00Z,10YES-REE------0,MAW,B12,5257
2021-01-02T16:00+00:00Z,2021-01-02T17:00+00:00Z,10YES-REE------0,MAW,B12,7810
