StartTime,EndTime,AreaID,UnitName,Load
2021-01-02T05:00+00:00Z,2021-01-02T05:30+00:00Z,10Y1001A1001A92E,MAW,26759
2021-01-02T05:30+00:00Z,2021-01-02T06:00+00:00Z,10Y1001A1001A92E,MAW,28060
2021-01-02T06:00+00:00Z,2021-01-02T06:30+00:00Z,10Y1001A1001A92E,MAW,29214
2021-01-02T06:30+00:00Z,2021-01-02T07:00+00:00Z,10Y1001A1001A92E,MAW,30715
2021-01-02T07:00+00:00Z,2021-01-02T07:30+00:00Z,10Y1001A1001A92E,MAW,31408
2021-01-02T07:30+00:00Z,2021-01-02T08:00+00:00Z,10Y1001A1001A92E,MAW,32695
2021-01-02T08:00+00:00Z,2021-01-02T08:30+00:00Z,10Y1001A1001A92E,MAW,34306
2021-01-02T08:30+00:00Z,2021-01-02T09:00+00:00Z,10Y1001A1001A92E,MAW,36089
2021-01-02T09:00+00:00Z,2021-01-02T09:30+00:00Z,10Y1001A1001A92E,MAW,37504
2021-01-02T09:30+00:00Z,2021-01-02T10:00+00:00Z,10Y1001A1001A92E,MAW,38367
2021-01-02T10:00+00:00Z,2021-01-02T10:30+00:00Z,10Y1001A1001A92E,MAW,39130
2021-01-02T10:30+00:00Z,2021-01-02T11:00+00:00Z,10Y1001A1001A92E,MAW,39489
2021-01-02T11:00+00:00Z,2021-01-02T11:30+00:00Z,10Y1001A1001A92E,MAW,40255
2021-01-02T11:30+00:00Z,2021-01-02T12:00+00:00Z,10Y1001A1001A92E,MAW,41241
2021-01-02T12:00+00:00Z,2021-01-02T12:30+00:00Z,10Y1001A1001A92E,MAW,41537
2021-01-02T12:30+00:00Z,2021-01-02T13:00+00:00Z,10Y1001A1001A92E,MAW,41925
2021-01-02T13:00+00:00Z,2021-01-02T13:30+00:00Z,10Y1001A1001A92E,MAW,41567
2021-01-02T13:30+00:00Z,2021-01-02T14:00+00:00Z,10Y1001A1001A92E,MAW,41460
2021-01-02T14:00+00:00Z,2021-01-02T14:30+00:00Z,10Y1001A1001A92E,MAW,41498
2021-01-02T14:30+00:00Z,2021-01-02T15:00+00:00Z,10Y1001A1001A92E,MAW,41381
2021-01-02T15:00+00:00Z,2021-01-02T15:30+00:00Z,10Y1001A1001A92E,MAW,41692
2021-01-02T15:30+00:00Z,2021-01-02T16:00+00:00Z,10Y1001A1001A92E,MAW,43556
2021-01-02T16:00+00:00Z,2021-01-02T16:30+00:00Z,10Y1001A1001A92E,MAW,45775
2021-01-02T16:30+00:00Z,2021-01-02T17:00+00:00Z,10Y1001A1001A92E,MAW,46523
2021-01-02T17:00+00:00Z,2021-01-02T17:30+00:00Z,10Y1001A1001A92E,MAW,46542
2021-01-02T17:30+00:00Z,2021-01-02T18:00+00:00Z,10Y1001A1001A92E,MAW,45888
2021-01-02T18:00+00:00Z,2021-01-02T18:30+00:00Z,10Y1001A1001A92E,MAW,45000
2021-01-02T18:30+00:00Z,2021-01-02T19:00+00:00Z,10Y1001A1001A92E,MAW,44119
2021-01-02T19:00+00:00Z,2021-01-02T19:30+00:00Z,10Y1001A1001A92E,MAW,42538
2021-01-02T19:30+00:00Z,2021-01-02T20:00+00:00Z,10Y1001A1001A92E,MAW,41357
2021-01-02T20:00+00:00Z,2021-01-02T20:30+00:00Z,10Y1001A1001A92E,MAW,40066
2021-01-02T20:30+00:00Z,2021-01-02T21:00+00:00Z,10Y1001A1001A92E,MAW,38636
2021-01-02T21:00+00:00Z,2021-01-02T21:30+00:00Z,10Y1001A1001A92E,MAW,37286
2021-01-02T21:30+00:00Z,2021-01-02T22:00+00:00Z,10Y1001A1001A92E,MAW,35824
2021-01-02T22:00+00:00Z,2021-01-02T22:30+00:00Z,10Y1001A1001A92E,MAW,34399
2021-01-02T22:30+00:00Z,2021-01-02T23:00+00:00Z,10Y1001A1001A92E,MAW,32734
2021-01-02T23:00+00:00Z,2021-01-02T23:30+00:00Z,10Y1001A1001A92E,MAW,31872
2021-01-02T23:30+00:00Z,2021-01-03T00:00+00:00Z,10Y1001A1001A92E,MAW,31590
2021-01-03T00:00+00:00Z,2021-01-03T00:30+00:00Z,10Y1001A1001A92E,MAW,31709
2021-01-03T00:30+00:00Z,2021-01-03T01:00+00:00Z,10Y1001A1001A92E,MAW,31303
2021-01-03T01:00+00:00Z,2021-01-03T01:30+00:00Z,10Y1001A1001A92E,MAW,30554
2021-01-03T01:30+00:00Z,2021-01-03T02:00+00:00Z,10Y1001A1001A92E,MAW,29976
2021-01-03T02:00+00:00Z,2021-01-03T02:30+00:00Z,10Y1001A1001A92E,MAW,29463
2021-01-03T02:30+00:00Z,2021-01-03T03:00+00:00Z,10Y1001A1001A92E,MAW,28631
2021-01-03T03:00+00:00Z,2021-01-03T03:30+00:00Z,10Y1001A1001A92E,MAW,27763
2021-01-03T03:30+00:00Z,2021-01-03T04:00+00:00Z,10Y1001A1001A92E,MAW,26620
2021-01-03T04:00+00:00Z,2021-01-03T04:30+00:00Z,10Y1001A1001A92E,MAW,26273
2021-01-03T05:30+00:00Z,2021-01-03T06:00+00:00Z,10Y1001A1001A92E,MAW,27384
2021-01-03T06:00+00:00Z,2021-01-03T06:30+00:00Z,10Y1001A1001A92E,MAW,27906
2021-01-03T06:30+00:00Z,2021-01-03T07:00+00:00Z,10Y1001A1001A92E,MAW,28827
2021-01-03T07:00+00:00Z,2021-01-03T07:30+00:00Z,10Y1001A1001A92E,MAW,29464
2021-01-03T07:30+00:00Z,2021-01-03T08:00+00:00Z,10Y1001A1001A92E,MAW,31446
2021-01-03T08:00+00:00Z,2021-01-03T08:30+00:00Z,10Y1001A1001A92E,MAW,33412
2021-01-03T08:30+00:00Z,2021-01-03T09:00+00:00Z,10Y1001A1001A92E,MAW,35219
2021-01-03T09:00+00:00Z,2021-01-03T09:30+00:00Z,10Y1001A1001A92E,MAW,36897
