StartTime,EndTime,AreaID,UnitName,PsrType,quantity,time_interval
2021-12-31 23:00:00+00:00,2022-01-01 00:00:00+00:00,10Y1001A1001A65H,MAW,B01,468,0 days 01:00:00
2022-01-01 00:00:00+00:00,2022-01-01 01:00:00+00:00,10Y1001A1001A65H,MAW,B01,511,0 days 01:00:00
2022-01-01 01:00:00+00:00,2022-01-01 02:00:00+00:00,10Y1001A1001A65H,MAW,B01,519,0 days 01:00:00
2022-01-01 02:00:00+00:00,2022-01-01 03:00:00+00:00,10Y1001A1001A65H,MAW,B01,558,0 days 01:00:00
2022-01-01 03:00:00+00:00,2022-01-01 04:00:00+00:00,10Y1001A1001A65H,MAW,B01,468,0 days 01:00:00
2022-01-01 04:00:00+00:00,2022-01-01 05:00:00+00:00,10Y1001A1001A65H,MAW,B01,505,0 days 01:00:00
2022-01-01 05:00:00+00:00,2022-01-01 06:00:00+00:00,10Y1001A1001A65H,MAW,B01,554,0 days 01:00:00
2022-01-01 06:00:00+00:00,2022-01-01 07:00:00+00:00,10Y1001A1001A65H,MAW,B01,720,0 days 01:00:00
2022-01-01 07:00:00+00:00,2022-01-01 08:00:00+00:00,10Y1001A1001A65H,MAW,B01,714,0 days 01:00:00
2022-01-01 08:00:00+00:00,2022-01-01 09:00:00+00:00,10Y1001A1001A65H,MAW,B01,675,0 days 01:00:00
2022-01-01 09:00:00+00:00,2022-01-01 10:00:00+00:00,10Y1001A1001A65H,MAW,B01,668,0 days 01:00:00
2022-01-01 10:00:00+00:00,2022-01-01 11:00:00+00:00,10Y1001A1001A65H,MAW,B01,732,0 days 01:00:00
2022-01-01 11:00:00+00:00,2022-01-01 12:00:00+00:00,10Y1001A1001A65H,MAW,B01,649,0 days 01:00:00
2022-01-01 12:00:00+00:00,2022-01-01 13:00:00+00:00,10Y1001A1001A65H,MAW,B01,756,0 days 01:00:00
2022-01-01 13:00:00+00:00,2022-01-01 14:00:00+00:00,10Y1001A1001A65H,MAW,B01,803,0 days 01:00:00
